SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,38.75,38.75,37.8,38.5,38.6,38,21754,835085.6,4-Jul-17,145,INE144J01027
3IINFOTECH,EQ,4.7,4.8,4.4,4.55,4.6,4.6,4306349,19698544.7,4-Jul-17,1171,INE748C01020
3MINDIA,EQ,13774.95,13774.95,13515.05,13696.1,13700,13505.45,600,8199345,4-Jul-17,291,INE470A01017
63MOONS,EQ,62.1,64.45,62,64.1,63.8,62.7,48205,3076641.05,4-Jul-17,590,INE111B01023
8KMILES,EQ,540,565,538,555.65,557,538.85,91267,50564577.75,4-Jul-17,3018,INE650K01021
A2ZINFRA,EQ,44.75,44.85,43,43.15,43.15,44.2,1062193,46314220.35,4-Jul-17,5709,INE619I01012
AARTIDRUGS,EQ,527,538.95,527,528.6,527,536.8,2563,1362839.8,4-Jul-17,290,INE767A01016
AARTIIND,EQ,942,943,925,929.05,930,941.35,30512,28453758.1,4-Jul-17,2644,INE769A01020
AARVEEDEN,EQ,62.2,62.2,60.25,60.6,60.5,61.15,5355,325951.05,4-Jul-17,61,INE273D01019
ABAN,EQ,186.95,191.85,186.1,187.7,187.4,186.95,752210,141986668.1,4-Jul-17,9347,INE421A01028
ABB,EQ,1442,1472,1442,1451.55,1450.3,1448.4,20074,29194869.3,4-Jul-17,1732,INE117A01022
ABBOTINDIA,EQ,4240,4240,4200.05,4219.1,4206.2,4207.85,1863,7858158.9,4-Jul-17,234,INE358A01014
ABFRL,EQ,172.3,174.45,170.25,170.85,170.5,171.9,122106,21032747.85,4-Jul-17,1992,INE647O01011
ABGSHIP,BZ,16.2,16.2,15.05,15.05,15.05,15.8,76596,1175307.3,4-Jul-17,223,INE067H01016
ABIRLANUVO,EQ,1919,1936.8,1872.5,1887.05,1880,1920.95,1885811,3571234467,4-Jul-17,60586,INE069A01017
ABMINTLTD,BE,90,90,86.05,87,87,90,68,5950.6,4-Jul-17,10,INE251C01017
ACC,EQ,1591.6,1605.65,1570,1580.65,1580,1587.6,193433,306267658.1,4-Jul-17,10094,INE012A01025
ACCELYA,EQ,1325,1410,1325,1349.8,1340,1326.15,6309,8536971.9,4-Jul-17,745,INE793A01012
ACE,EQ,69.85,73.4,68.5,72.75,72.8,69.25,651876,46879567.05,4-Jul-17,3940,INE731H01025
